locus_tag,gene,srm_ response,concentration,peptides_per_protein
Rv0356c,,3465434,5,3
Rv0687,,3461994,5,3
Rv0005,gyrB,3454467,5,2
Rv3623,lpqG,3439953,5,3
Rv0751c,mmsB,3434129,5,3
Rv1312,,3421547,5,3
Rv2131c,cysQ,3420754,5,2
Rv0317c,glpQ2,3405596,5,4
Rv1335,cysO,3398176,5,3
Rv2214c,ephD,3391977,5,3
Rv0708,rplP,3390328,5,3
Rv2765,,3370365,5,8
Rv2391,sirA,3367099,5,4
Rv1676,,3354115,5,3
Rv3598c,lysS,3352719,5,3
Rv2587c,secD,3349804,5,3
Rv1223,htrA,3331391,5,2
Rv2740,ephG,3329371,5,3
Rv0533c,fabH,3328713,5,5
Rv3369,,3327453,5,3
Rv1324,,3324714,5,3
Rv1899c,lppD,3319256,5,3
Rv1192,,3302892,5,4
Rv1018c,glmU,3295870,5,3
Rv0709,rpmC,3295421,5,2
Rv2955c,,3294497,5,2
Rv2858c,aldC,3289160,5,3
Rv0244c,fadE5,3282692,5,3
Rv3230c,,3270006,5,5
Rv3141,fadB4,3258129,5,4
Rv0705,rpsS,3245172,5,2
Rv0933,pstB,3240645,5,5
Rv2511,orn,3240022,5,3
Rv1820,ilvG,3239628,5,3
Rv0437c,psd,3233104,5,3
Rv2580c,hisS,3232144,5,6
Rv2486,echA14,3223211,5,5
Rv0467,icl1,3221689,5,4
Rv3795,embB,3208790,5,3
Rv0644c,mmaA2,3202107,5,3
Rv3526,kshA,3197272,5,3
Rv3582c,ispD,3189477,5,3
Rv2720,lexA,3186611,5,2
Rv2908c,,3184700,5,2
Rv0500A,,3178907,5,3
Rv3719,,3156430,5,4
Rv1194c,,3150793,5,6
Rv3105c,prfB,3141807,5,3
Rv3356c,folD,3134835,5,3
Rv2878c,mpt53,3132824,5,2
Rv1094,desA2,3126637,5,2
Rv0407,fgd1,3121162,5,2
Rv2766c,,3114024,5,5
Rv3825c,pks2,3106680,5,6
Rv2150c,ftsZ,3100581,5,3
Rv0190,,3089750,5,2
Rv1181,pks4,3088177,5,2
Rv1438,tpi,3086042,5,3
Rv2903c,lepB,3082304,5,3
Rv2141c,,3075885,5,5
Rv2574,,3068280,5,2
Rv2064,cobG,3054956,5,4
Rv2967c,pca,3042961,5,3
Rv1140,,3039033,5,2
Rv0347,,3019560,5,6
Rv3203,lipV,3017999,5,3
Rv2970c,lipN,3012421,5,3
Rv2673,aftC,3010944,5,3
Rv1056,,3007211,5,3
Rv3090,,3003875,5,3
Rv0391,metZ,2992824,5,3
Rv3460c,rpsM,2990510,5,3
Rv1379,pyrR,2982260,5,3
Rv1143,mcr,2980283,5,3
Rv1340,rphA,2975517,5,6
Rv2518c,ldtB,2971718,5,3
Rv1798,eccA5,2968302,5,2
Rv3755c,,2967176,5,3
Rv1511,gmdA,2948671,5,3
Rv2373c,dnaJ2,2948313,5,3
Rv2054,,2946255,5,3
Rv2674,msrB,2938281,5,5
Rv3273,,2934356,5,3
Rv3853,rraA,2932316,5,3
Rv1416,ribH,2931181,5,3
Rv0046c,ino1,2925301,5,3
Rv0928,pstS3,2925276,5,3
Rv3871,eccCb1,2921307,4,6
Rv1650,pheT,2921086,4,3
Rv1856c,,2918412,4,4
Rv1144,,2913240,4,2
Rv3036c,TB22.2,2902372,4,2
Rv0189c,ilvD,2893032,4,2
Rv3292,,2890187,4,3
Rv1384,carB,2881353,4,2
Rv3556c,fadA6,2875744,4,3
Rv2839c,infB,2875357,4,2
Rv1124,ephC,2868975,4,3
Rv0820,phoT,2853342,4,4
Rv2945c,lppX,2849963,4,2
Rv2555c,alaS,2843185,4,5
Rv2721c,,2822333,4,3
Rv0119,fadD7,2817832,4,6
Rv3075c,,2812763,4,3
Rv3240c,secA1,2811752,4,3
Rv2238c,ahpE,2811666,4,3
Rv3490,otsA,2804369,4,3
Rv1531,,2791283,4,3
Rv2605c,tesB2,2787923,4,3
Rv3301c,phoY1,2783520,4,3
Rv2951c,,2778591,4,3
Rv3006,lppZ,2776776,4,3
Rv3869,eccB1,2772516,4,3
Rv1269c,,2771639,4,2
Rv2357c,glyS,2769920,4,3
Rv3139,fadE24,2764175,4,3
Rv1274,lprB,2746179,4,2
Rv1638A,,2745730,4,3
Rv3920c,,2740379,4,3
Rv2476c,gdh,2740212,4,2
Rv1893,,2731719,4,3
Rv3669,,2729171,4,2
Rv0411c,glnH,2726383,4,3
Rv0803,purL,2723897,4,3
Rv2921c,ftsY,2722581,4,3
Rv3400,,2721532,4,3
Rv2927c,,2703864,4,5
Rv3842c,glpQ1,2701885,4,3
Rv1679,fadE16,2700657,4,5
Rv0566c,,2644744,4,2
Rv2496c,pdhB,2641330,4,3
Rv0821c,phoY2,2638100,4,3
Rv1292,argS,2637838,4,2
Rv0400c,fadE7,2633003,4,3
Rv3050c,,2623260,4,3
Rv2590,fadD9,2620676,4,3
Rv2953,,2617949,4,3
Rv0357c,purA,2614766,4,3
Rv1082,mca,2611824,4,6
Rv0157,pntB,2606417,4,4
Rv0148,,2602790,4,4
Rv1447c,zwf2,2595115,4,4
Rv2445c,ndkA,2594069,4,2
Rv1609,trpE,2589802,4,3
Rv0946c,pgi,2588982,4,3
Rv1106c,,2581921,4,4
Rv2675c,,2581369,4,6
Rv3722c,,2579005,4,4
Rv2178c,aroG,2567274,4,2
Rv3368c,,2559424,4,3
Rv1178,,2550283,4,3
Rv3011c,gatA,2549912,4,3
Rv0865,mog,2540912,4,2
Rv3913,trxB2,2538771,4,5
Rv2672,,2536510,4,3
Rv1454c,qor,2534345,4,2
Rv3168,,2533566,4,6
Rv2228c,,2531526,4,3
Rv2503c,scoB,2523516,4,2
Rv0433,,2510538,4,3
Rv2868c,gcpE,2499899,4,2
Rv3309c,upp,2499485,4,3
Rv1546,,2492123,4,3
Rv0647c,,2476357,4,3
Rv0811c,,2467854,4,3
Rv2691,ceoB,2467593,4,3
Rv1654,argB,2462341,4,7
Rv0530,,2461580,4,3
Rv3671c,,2445598,4,3
Rv0427c,xthA,2441101,4,7
Rv0426c,,2427431,4,3
Rv3682,ponA2,2426932,4,6
Rv1336,cysM,2421274,4,3
Rv3043c,ctaD,2418697,4,3
Rv1341,,2407585,4,3
Rv3272,,2398660,4,6
Rv1112,,2398353,4,3
Rv3442c,rpsI,2394016,4,2
Rv1285,cysD,2390994,4,3
Rv0271c,fadE6,4397492,4,8
Rv3921c,,2386152,4,3
Rv0127,,4183582,4,3
Rv0546c,,2348171,4,2
Rv3031,,2348051,4,5
Rv0445c,sigK,2345595,4,2
Rv0870c,,2336869,4,2
Rv1778c,,2331454,4,4
Rv1234,,2328299,4,2
Rv1196,PPE18,2328094,4,2
Rv0543c,,2323838,4,2
Rv0906,,2323462,4,3
Rv0456c,echA2,2310752,4,4
Rv0712,,2309310,4,5
Rv1294,thrA,4885218,4,3
Rv0800,pepC,2305472,4,5
Rv3255c,manA,2300506,4,3
Rv2442c,rplU,2286218,4,2
Rv1007c,metS,2280259,4,2
Rv2498c,citE,2279059,4,3
Rv0154c,fadE2,2266549,4,2
Rv0711,atsA,2264025,4,6
Rv0321,dcd,2261694,4,4
Rv3305c,amiA1,2259384,4,4
Rv2074,,2257022,4,3
Rv0724,sppA,2250423,3,5
Rv0008c,,2230501,3,2
Rv0237,lpqI,2228329,3,3
Rv0646c,lipG,2227006,3,5
Rv0760c,,2226473,3,2
Rv0524,hemL,2224071,3,3
Rv2151c,ftsQ,2223086,3,3
Rv1901,cinA,2217155,3,4
Rv2470,glbO,2214477,3,3
Rv3044,fecB,2211806,3,3
Rv2916c,ffh,2211156,3,3
Rv0957,purH,5835769,3,5
Rv3680,,2199518,3,3
Rv0504c,,2198991,3,3
